River Basin,Spill Hours
TYNE,1220.6675925926559
Dart,1002.9275
Severn - conf Bele Bk to conf Sundorne Bk,783.1716666666666
Ouse from River Nidd to Stillingfleet Beck,687.5933333333334
Solent,661.8879166666667
Tame (Swineshaw Brook to Mersey),594.4708333333333
Tame (Chew Brook to Swineshaw Brook),585.865
Calder - Pendle Water to conf Ribble,560.5975
Aire from Gill Beck (Baildon) to River Calder,546.3245833333333
Ellen (lower),543.2266666666667
MERSEY,521.76
N/a,521.2616435185186
Trent from Soar to The Beck,477.03458333333333
SOUTHAMPTON WATER,426.0133333333333
Don from River Rother to River Dearne,419.2620833333333
Mersey (upstream of Manchester Ship Canal),417.59458333333333
Blakewater,407.32875
Bristol Avon (By Bk to Netham Weir),406.64660845016624
Aire (R Worth to Gill Beck),386.37333333333333
Calder from Ryburn Confluence  to River Colne,384.97166666666664
Erewash from Gilt Brook to Trent,381.9458333333333
Amber from Alfreton Brook to Derwent,370.8408333333333
Nidd from Ashfoldside Beck to Birstwith,367.12458333333336
Teign (Lower),362.3691666666667
Eden - Eamont to tidal,360.18
Yeo - source to conf Congresbury Yeo,358.4979166661433
Lower Culm,353.84708333333333
Etchilhampton Water,353.4069444439592
Wear from Gaunless to Browney,350.2443981482429
Calder from Colden Water to Ryburn Confluence,349.53833333333336
Irwell (Croal to Irk),349.5183333333333
Lower River Inny,346.2733333333333
Roch (Spodden to Irwell),339.20625
Deep Meadows Beck,338.4325
Irwell / Manchester Ship Canal (Irk to confluence with Upper Mers,334.1675
The Birket including Arrowe Brook and Fender,334.14
Millingford (Newton) Brook,333.295
Harbourne River,332.00374999999997
Aire from River Calder to River Ouse,329.06
Seaton,328.01416666666665
Avon (Brist) conf R Marden to conf Semington Bk,325.62152731546666
BRISTOL AVON,321.79243043554015
Derwent - conf Cocker to tidal,318.56416666666667
BLYTH (N),316.3022569446773
Lower Rother from Etchingham to Scot's Float,313.56125000000003
Went from Hoyle Mill Stream to Blowell Drain,312.01958333333334
Eden - headwaters to Scandal Beck,307.1820833333333
Eea,307.175
Western Rother,306.89583333333337
Wharfe from R Washburn to Collingham Beck,305.1875
Team from Source to Tyne,303.70692129649575
Wye from Monk's Dale to Derwent,302.30083333333334
Wear from Houselop Beck to Beechburn Beck,299.10339120362187
Hey/Borsdane Brook,296.75083333333333
Wharfe from Barben Beck/River Dibb to Hundwith Beck,290.9766666666667
Wray Brook,290.28499999999997
Till (Hampshire Avon),289.92708333279734
Not part of a WFD catchment,284.94416666666666
Derwent from Wye to Amber,283.18333333333334
Hampshire Avon (Lower),281.92237268525787
Calder from River Colne to River Chald,280.295
Old West River,277.195
Ure from River Skell to River Tutt,274.5625
Chichester chalk,272.59625
Ribble DS Stock Beck,264.8325
Middle Level,262.99125
King's Sedgemoor Drain - Henley Sluice to mouth,262.30138888928195
Meavy,260.41291666666666
Sussex,260.40833333333336
Douglas - Lower,258.78541666666666
Hexden Channel,258.06291666666664
Lower River Tamar,257.66375
Sence from Source to Ibstock Brook,256.9470833333333
Chestle Pill,256.84247395837156
Bradshaw Brook,253.64916666666664
Cary - source to conf with KSD,249.81458240731445
Gaunless from Hummer Beck to Wear,245.4270833332921
Ouse from R Wharfe to Upper Humber,235.59125
Spratford Stream,234.63541666666666
"Rother, Doe Lea to Don",233.52958333333333
Bourne (Hampshire Avon),233.03211793806986
"Avon conf Workman Br, Evesham to conf R Severn",232.92416666666665
Brue - Tootle Bridge to Clyse Hole,232.71023055507249
Torridge (Combe Lake to Lew),232.35375
Bride,230.91348553216812
Knoll Beck from Source to River Dearne,230.84375
Colne from River Holme to River Calder,230.7575
Not part of a river WB catchment,230.12878540613747
Don from Source to Tidal Limit,229.45170138870535
OUSE,226.84375
Lower River Lynher,225.57833333333335
Lidsey Rife,225.45041666666668
Witham - conf Cringle Bk to conf Brant,224.58998842592592
Ryburn from Booth Dean Clough to R Calder,224.08333333333334
Wear from Croxdale Beck to Lumley Park Burn,223.3291203702542
HUMBER MIDDLE,222.72916666666666
Kent - conf Gowan to conf Sprint,222.36374999999998
Blythe from Temple Balsall Brook to Patrick Bridge,220.89708333333334
Irwell (Roch to Croal),218.26416666666665
Weaver,217.19000000000003
Cotehele Stream,217.15833333333333
Swale from Clapgate Beck to Bedale Beck,216.14875
Scurf Beck from Source to Bedale Beck,216.07291666666666
Test - conf Anton to conf Dun,215.02375000000004
Isle of Wight East,214.03416666666666
Tyne from Watersmeet to Tidal Limit,213.1980671295165
Blackwater (Test and Itchen),211.4358333333333
Windrush and tributaries (Little Rissington to Thames),207.3125
Walkham,207.03458333333333
Foss from the Syke to the River Ouse,206.7225
Aire (Eshton Beck to R Worth),206.59916666666666
CHICHESTER HARBOUR,205.27791666666664
Allen,205.13416666666666
Etherow (Glossop Brook to Goyt),204.62
Lune - conf Birk Beck to conf Rawthey,204.50708333333333
Don from Little Don to River Loxley confluence,203.73250000000002
Derwent from Burnhope Burn to River Tyne,201.90370370361052
Mole - Dorking to Leatherhead,201.83333333333334
Teme - conf R Onny to conf R Severn,201.25666666666666
Irwell (Source to Whitewell Brook),200.79458333333335
Lustrum Beck Catchment (trib of Tees),200.7112152777845
Wharfe from Hundwith Beck to River Washburn,199.42333333333335
HUMBER LOWER,198.68083333333334
Derwent from River Rye to Kirkham,198.58958333333334
Hebble Brook from Source to River Calder,198.25166666666667
Tyne and Wear,197.71586805546025
Erewash from Source to Nethergreen Brook,197.6470833333333
Exe (Barle to Culm),195.65124999999998
Eastern Yar (Lower),194.94666666666666
Middle River Okement,194.62708333333333
Chapel Beck,193.69833333333332
Yarrow DS Big Lodge Water,193.64708333333334
Middle Brook,193.6125
Boyd - source to conf R Avon (Brist),192.25069409701973
Bedford Brook,191.87625
Tove (DS Greens Norton),190.84623842592592
Lower Axe,189.75458333333333
Calder from River Chald to River Aire,189.22
Sussex East,189.19625000000002
Pennington Brook (Glaze),189.17333333333332
Dane (Cow Brook to Wheelock),188.61416666666668
Kennal,186.98375
South Drain,186.5601851852116
Mells source to conf with Somerset Frome,186.44444374924205
THAMES MIDDLE,185.56208333333333
Glynde Reach,185.4754166666667
Colne from Wessenden Brook to R Holme,185.27083333333334
Cunsey Beck/Black Beck,184.80041666666665
Wythop Beck,184.70333333333335
Derwent from Westend to Wye,184.16916666666665
Lune - conf Wenning to tidal,182.8425
Trent - R Tame to R Dove,182.02833333333334
Derril Water,181.58708333333334
Chelfham Stream,181.20791666666665
Irk (Wince to Irwell),179.37666666666667
Holbeck from Source to Wath Beck,178.09375
Northumberland South,178.05702546309718
Luckington Bk,177.30972199068492
Mobberley Brook,177.14916666666667
Spital/Calow/Muster Brook,176.97916666666666
Etherow (Woodhead Res. to Glossop Bk.),176.955
TEES,176.61369212980225
Black Brook from Source to River Calder,174.91958333333332
Rockley Dike from Source to River Dove,174.32291666666666
Piddle (Upper),174.29166666666424
Lavant (Sussex),171.43875
Ure from Mill Beck to Thornton Steward Beck,171.40625
Keer - Lower,170.74166666666667
Greta,170.70291666666668
Lower Clyst,170.38791666666665
Burton Brook from Source to Sence,169.91708333333335
Weaver (Marbury Brook to Dane),169.32791666666668
"Rother, Spittal Brook to Doe Lea",168.31916666666666
Rhee (DS Wendy),168.18833333333333
Lowthorpe/Kelk/Foston Bks from Source to Frodingham Beck,167.98958333333331
Ogden,167.875
"Smallhope Burn from Source to Browney, Stocke",167.15975694435474
Chew - Chew Valley Lake to conf Winford Brook,166.38858923227963
MEDINA,166.32916666666668
Derwent from Bottle Brook to Trent,166.2175
Loxwood Stream,166.04583333333335
Eagley Brook,165.8975
Pang,165.0625
Bollin (Ashley Mill to Manchester Ship Canal),164.905
Balder Catchment (trib of Tees),164.64030092590548
Bray (Source to Hole Water),164.12583333333333
Hillfarrance Bk,163.46666666973033
Upper Roding (to Cripsey Brook),162.73041666666666
Upper River Yeo (Bideford),162.67166666666668
Axe - source to Cocklake,161.9486111064325
SEVERN MIDDLE,161.18541666666667
Lower River Tavy,160.8675
Quinny Bk - source to conf R Onny,160.50416666666666
Bevern Stream,160.16583333333332
Deer,160.01125000000002
Coombe Valley Stream,159.92708333333334
Coquet from Forest Burn to Tidal Limit,159.46293981470808
Tees from Skerne to Tidal Limit,159.4067592590998
Ribble - conf Calder to tidal,158.90958333333333
Cannop Bk - source to R Severn Estuary,158.75416666666666
Dearne from Cawthorne Dyke to Lundwood STW,158.22541666666666
Brant - Lower,158.16833333333332
Kingston Brook Catchment (Trib of Soar),157.57874999999999
Darwen - conf Davy Field Bk to conf Blakewater,157.40333333333334
Tale,157.12375
Stour (Warks) - source to conf Nethercote Bk,156.93875
Thrushel,156.90541666666667
Micker Brook,156.60208333333333
Cam Bk - source to conf Wellow Bk,155.93193125073594
Holme from New Mill Dike to R Colne,155.59708333333333
Meon,154.89791666666665
Derwent from Amber to Bottle Brook,154.85791666666665
Langton Brook,154.78123842592592
Alfreton Brook from Source to Westwood Brook,154.635
Yorkshire North,154.38375
Amber from Source to Press Brook,154.245
Hodsock Bk (to Oldcoates Dyke),154.20499999999998
Sydling Water,153.743055555482
Ise - Upper,153.35666666666668
Frome (Brist) - conf Laddon Bk to conf Folly Bk,153.3298611084756
Avon (Brist) conf Tetbury Avon to conf R Marden,152.0685356519898
Bain - Lower,151.15708333333333
Bashall Brook,151.01458333333332
Spen Beck from Source to River Calder,150.40291666666667
Irwell (Rossendale STW to Roch),149.98333333333332
Foudry Brook (West End Brook to M4),149.75
Lostock US Farington Weir,149.45541666666665
Wyke Beck from Source to River Aire,149.22291666666666
MEDWAY,148.49958333333333
Stour (Middle u/s Pimperne Brook),147.9643401574358
Wellhams Brook,147.8657182882016
Blockley Bk - source to conf Knee Bk,147.58541666666667
Gauze Bk - source to conf R Avon (Brist),147.18055555549654
Bourne - source to R Tame,146.87625
Pincey Brook,146.72916666666666
Irwell (Cowpe Bk to Rossendale STW),146.58583333333334
Chew - conf Winford Bk to conf R Avon (Brist),146.56535879927833
Stour (Headwaters),146.02137731538824
Knowl Water,145.40333333333334
Glaze,145.02083333333334
Haseley Brook,144.14583333333334
Dearne Darfield STW to River Don,143.80708333333334
Caundle Brook (Lower),143.78611111166538
Yeo,143.72981481483293
Upper Carnon River,143.71125
Pulham,143.32166666666666
Calder from Walsden Water to Colden Water,142.57291666666666
Marron,142.24791666666667
Pont from Med Burn to Small Burn,141.62910879603442
Coln (from Coln Rogers) and Thames (Coln to Leach),141.29166666666666
Yewdale/Church Beck,141.23583333333332
Crummock Beck u/s Holme Dub,141.21916666666667
Hertford from Source to River Derwent,140.82291666666666
Black Sluice IDB draining to the South Forty Foot Drain,140.50540509259258
Brede,138.82083333333333
Hawkridge Brook,138.42874999999998
Chil and Limb Brooks (source to B4044),137.55208333333334
Petteril u/s M6,137.39333333333335
Green Brook,137.0875
Sett,137.02249999999998
St Neot River,136.80125
Wear from Middlehope Burn to Houselop Beck,136.14384259276994
Severn - conf R Teme to conf R Avon,135.97958333333332
Am Brook,135.51416666666668
Avon Water,134.96958333333333
Chew - source to Chew Valley Lake,134.62152731472452
Swift source to conf Avon,134.45083333333332
Bela,134.10791666666665
Wharfe from Collingham Beck to Tadcaster Weir,133.57958333333335
Ouse (Newport Pagnell to Roxton),133.31457175925925
Hanwell Brook,133.27083333333334
North Level Pumped Areas 2 and 3,132.90958333333333
Langney Sewer at Eastbourne,132.8875
Ellen (middle),132.88083333333333
Soar from Long Whatton Brook to Trent,132.66
Beane (Source to Stevenage Brook),132.5625
Colne (d/s Doe's Corner),132.555
Langtree Lake,132.53875
Aller Brook,132.48916666666668
Cam - Lower,132.24791666760575
Lower River Otter,132.17125
Scotsgrove Brook (upstream Kingsey Cuttle Brook),132.16666666666669
Hardwick Brook (Source to Thame),131.92708333333334
Fairham Brook Catchment (trib of Trent),131.81958333333336
Radcot Cut,131.5
Pittington Beck from Coalford to Old Durham Beck,131.45218749991488
Foss from Farlington Beck to the Syke,131.23958333333334
Tees from Maize Beck to Percy Beck,131.22929398147684
Avon (DevonTidal) and Sth Hams - Frogmore,131.095
Upper River Yeo (Lapford),131.0925
Barton (Westfield) Brook,130.85125
Derwent from Kirkham to Elvington Beck,130.35416666666666
Barmston Sea Drain / Skipsea Drain to Conf,130.21541666666667
Brighstone Streams,130.18583333333333
Goyt (Etherow to Mersey),130.15791666666667
Avon - Upper,129.96416666666664
Powburgh Beck,129.775
Rothay,129.75125
Crookhurst Beck,129.35125
Grendon Brook,128.89708333333334
Hicks Mill Stream,128.8375
Irk (Sourtce to Wince Brook),128.79958333333332
ARUN,128.52416666666667
Ouse Still/fleet bk - Kelfield and Wharfe d/s Ryther,128.41
Noe from Peakshole Water to Derwent,128.37833333333333
Dean (Bollington to Bollin),127.86458333333333
Fenay beck from Source to River Colne,127.86416666666666
Gaunless from Source to Hummer Beck,127.71043981473728
Westleigh Brook,127.47708333333334
Nidd from Burstwith to Oak Beck,126.90291666666667
Welland - conf Langton Bk to conf Gwash,126.84957175925926
Aldbrough Beck from Source to Clow Beck,126.8009837963109
Bedale/Newton/Burton Bk from Rand Bk to R Swale,126.48958333333334
Reedy Brook,126.42875
Tetbury Avon - source to conf unnamed trib,126.21041666618112
Crane (Dorset),125.0359777772901
Middle River Otter,124.91999999999999
Ridgewood Stream,124.66916666666667
Harden Beck from Source to River Aire,124.66666666666667
Frome Dorset (Lower) d/s Louds Mill Dorchester,124.55990127156838
Holmes Dike catchment (trib of Ouse),124.27083333333333
Mole (Source to Burcombe Stream),124.18791666666668
Bradford Beck (Clayton Bk to R Aire),124.10041666666666
Leam - conf Rains Bk to conf R Itchen,123.57749999999999
Mag Brook from Source to River Holme,123.47208333333333
Trent from Tittensor to River Sow,123.26041666666666
Bollin (River Dean to Ashley Mill),122.58583333333333
Stanbridge Stream,122.41458333333333
Allen from Source to West Allen,122.14678240744979
Holme from Source to New Mill Dike,122.09375
Frome Dorset (Lower) u/s Louds Mill Dorchester,121.90277777809388
Blyth from Pont to Tidal Limit,121.63680555555766
Medway at Weir Wood,121.53291666666667
Penpont Water,121.52041666666668
Soar from Rothley Brook to Long Whatton Brook,121.29083333333334
Lowley Brook,120.93958333333333
Yarrow Culbeck Brook to tidal,120.855
Brue - Clyce Hole to conf North Drain,120.78611273080605
Langham Lake,120.76791666666665
Evenlode (Bledington to Glyme confluence),120.59375
Doe Lea from Hawke Brooke to River Rother,120.14583333333333
Cerney Wick Brook (source to Thames),119.61458333333333
Eye / Wreake from Langham Brook to Soar,119.35291666666666
Shill Brook and Tributaries,119.22916666666667
Clayhill Brook,119.20833333333333
Louth Canal,118.69624999999999
Mease from Source to Gilwiskaw Brook,118.48166666666667
HUMBER UPPER,118.29833333333333
"Clayton and Wormleighton Brook, Source to Highfurlong Brook",118.05208333333333
Lydden (Middle),117.70763888842339
N Tyne from Tarset Burn to River Rede,117.62278935185896
Doe Lea from Source to Hawke Brook,117.52416666666666
Nidd from Low Bridge on Briggate (Knaresborough) to Crimple Beck,117.50333333333333
Soar from Sence to Rothley Brook,117.33083333333333
Savick Brook,116.8
Combe Lake,116.67333333333333
Kent South,116.67
Platt Brook (Source to Fallowfield Bk),116.61708333333334
Adur (Burgess Hill),116.05666666666667
Sutton Bingham Stream - East Arm,115.89375000014843
Thurlaston Brook Catchment (trib of Soar),115.84333333333333
Bridgehouse Beck from Source to River Worth,115.63541666666667
Ancholme from Bishopbridge to the Humber,115.5375
Wellow Bk - Snails Bk to Bristol Avon,115.50844907616556
Lumburn,115.48958333333333
Sankey Brook (Rainford Brook to Mersey),115.45541666666666
Lower Bovey,115.27166666666668
Twizell Burn from Source to Cong Burn,114.98315972223517
Ampney and Poulton Brooks (Source to Thames),114.97916666666667
Crake,114.64666666666666
Severn River and Trib Estuary,114.59125
